text,doctor
"""A popliteal artery aneurysm may not cause any noticeable symptoms. The first symptom may be pain the lower leg that occurs with walking (claudication",General Physician
"""I've been having back pain, a cough, and weakness in my arms and legs. My neck hurts, and I've been feeling dizzy and off-balance.""",Orthopedic
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""fatigue,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""I have pain in my stomach after eating certain foods",Gastroenterologist
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain""",Gastroenterologist
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
I have a lot of pain in my neck and my muscles feel weak. My joints are swollen and I have a lot of stiffness when I walk. Walking is also very uncomf,Orthopedic
"""Signs and symptoms of lip cancer include: A flat or slightly raised whitish discoloration of the lip A sore on your lip that won't heal Tingling",General Physician
"""I've been having a lot of pain in my joints",General Physician
"""joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking""",General Physician
"""joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking""",General Physician
"""fatigue,cough,high_fever,breathlessness,mucoid_sputum""",General Physician
"""itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""continuous_sneezing,shivering,chills,watering_from_eyes""",ENT
"""fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""Symptoms of high blood sugar or low blood sugar usually develop before a diabetic coma. High blood sugar (hyperglycemia) If your blood sugar level is",General Physician
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""burning_micturition,bladder_discomfort,continuous_feel_of_urine""",General Physician
"""muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts""",ENT
The symptoms of cyclic vomiting syndrome often begin in the morning. Signs and symptoms include: Three or more recurrent episodes of vomiting that st,Gastroenterologist
"""vomiting,headache,nausea,spinning_movements,unsteadiness""",Gastroenterologist
"""           Strep throat infection       Open pop-up dialog box           Close     Strep throat infection   Strep throat infection Strep throat usually",ENT
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""vomiting,breathlessness,chest_pain""",Gastroenterologist
"""I have a fever and a rash on my face. The rash is red and painful, and it's oozing yellow fluid.""",Dermatologist
"""I have a rash that started out as small red sores near my nose and neck. The sores have gotten more painful and inflamed in recent days",Dermatologist
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
I have been having back pain for a while now. It's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arm,Orthopedic
"""vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion",Dermatologist
"""vomiting,headache,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
I'm really tired and weak. I can barely keep my eyes open. I have a fever and I don't feel like eating anything. I think I've lost my appetite.,General Physician
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus""",General Physician
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""A child or adult with wheat allergy is likely to develop signs and symptoms within minutes to hours after eating something containing wheat. Wheat al",General Physician
I have a stomach pain that keeps me up at night. I get tired after using the bathroom and I don't want to eat. I worry all the time.,Gastroenterologist
"""chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""I have a rash on my skin that is itchy and uncomfortable. It is also red and flaky. It has been spreading to other parts of my body",Dermatologist
I have a sour acidic taste in my mouth. I have frequent belching and burping. I have a feeling of pressure or fullness in my upper abdomen that last f,General Physician
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""I have been developing sores on my face and nose area for a few days now. I am not sure what is causing this. The sores on my face are swollen and te",General Physician
"""vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
I have a rash all over my body. It's really itchy and I feel really sick.,Dermatologist
"""Common symptoms of BPH include: BPH Frequent or urgent need to pee",General Physician
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""Dupuytren contracture gets worse slowly",General Physician
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails""",Dermatologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
I've been feeling really sick lately. I've been sneezing a lot and my nose is running. My throat is also really scratchy and I've been feeling really,ENT
"""I have a rash all over my body that is very itchy. It is red and bumpy, and there are some darkened spots and a few tiny",Dermatologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""vomiting,headache,weakness_of_one_body_side,altered_sensorium""",Gastroenterologist
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain""",Gastroenterologist
"""back_pain,neck_pain,dizziness,loss_of_balance""",General Physician
"""The severity of fetal alcohol syndrome symptoms varies",General Physician
"""The most common pink eye symptoms include: Redness in one or both eyes. Itchiness in one or both eyes. A gritty feeling in one or both eyes. A disch",General Physician
"""back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance""",General Physician
"""continuous_sneezing,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose",ENT
"""Cardiogenic shock signs and symptoms include: Rapid breathing Severe shortness of breath Sudden",General Physician
"""acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
I'm having trouble breathing and I'm really uncomfortable. My throat is full of phlegm and I'm sweating a lot. My heart is racing and my chest hurts.,ENT
"""itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes""",Gastroenterologist
"""muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts""",ENT
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
"""fatigue,cough,high_fever,breathlessness,mucoid_sputum""",General Physician
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""I've been having a lot of pain in my neck and back, and my arms and legs are numb. I've also been having problems with my balance and vertigo.""",General Physician
"""burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine""",General Physician
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)""",Gastroenterologist
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
Presbyopia develops gradually. You may first notice these signs and symptoms after age 40: A tendency to hold reading material farther away to make t,General Physician
"""chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""vomiting,sweating,chest_pain""",Gastroenterologist
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""The location and severity of knee pain may vary",General Physician
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking""",Orthopedic
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances""",Gastroenterologist
"""fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history""",Dermatologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
Symptoms of truncus arteriosus usually occur in the first few days of life. They include: Blue or gray skin due to low oxygen levels. Excessive sleep,Dermatologist
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""skin_rash,high_fever,blister,yellow_crust_ooze""",Dermatologist
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""I've been having back pain, a persistent cough, and weakness in my limbs. I also have problems with vertigo and losing my balance",Orthopedic
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion",ENT
I have trouble focusing and remembering things. I feel like I have brain fog.,General Physician
"""vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload""",Gastroenterologist
"""itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body""",Dermatologist
"""Damage to the protective myelin covering the nerves results in progressive worsening of brain and nervous system functions",General Physician
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""shivering,chills,watering_from_eyes""",General Physician
"""I've been experiencing neck pain, balance issues, and dizziness.""",General Physician
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""I have red spots all over my body",General Physician
"""vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability",Psychiatrist
"""itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion",Dermatologist
Signs and symptoms associated with galactorrhea include: Persistent or intermittent milky nipple discharge Nipple discharge involving multiple milk d,General Physician
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
"""itching,skin_rash,nodal_skin_eruptions,dischromic__patches""",Dermatologist
"""fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability",General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration""",General Physician
"""I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick",General Physician
I have a terrible pain in my stomach and I feel really sick. I'm also running a fever. I'm worried that I might have typhoid.,Gastroenterologist
"""vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""headache,weakness_of_one_body_side,altered_sensorium""",General Physician
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion",Dermatologist
"""patches_in_throat,high_fever,extra_marital_contacts""",ENT
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""itching,skin_rash,stomach_pain,burning_micturition,spotting__urination""",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances""",Gastroenterologist
"""Mittelschmerz pain usually lasts a few minutes to a few hours",General Physician
"""Kidney cancer usually doesn't have signs or symptoms in its early stages. In time, signs and symptoms may develop, including: Blood in your urine",General Physician
"""stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain""",Gastroenterologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""I've been having back pain, a dry cough, and weakness in my arms and legs. I've also been feeling dizzy and unsteady on my feet, and my neck hurts.""",Orthopedic
"""I've been feeling really sick lately. I have a fever, swollen lymph nodes, and a headache. I don't feel like eating anything",General Physician
"""skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Gastroenterologist
"""burning_micturition,bladder_discomfort,continuous_feel_of_urine""",General Physician
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""Most healthy people who are infected with CMV may experience no symptoms. Some experience minor symptoms. People who are more likely to experience si",General Physician
"""chills,fatigue,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum""",General Physician
"""back_pain,neck_pain,dizziness,loss_of_balance""",General Physician
"""skin_rash,pus_filled_pimples,blackheads,scurring""",Dermatologist
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching""",Gastroenterologist
"""fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria""",General Physician
"""There are different types of Gaucher disease, and signs and symptoms of disease vary widely",General Physician
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""Spinal cord tumors can cause different signs and symptoms, especially as tumors grow. The tumors may affect your spinal cord or the nerve roots",General Physician
"""vomiting,breathlessness,sweating,chest_pain""",Gastroenterologist
I've been feeling really itchy and sick to my stomach. I've lost a lot of weight and I'm exhausted. My skin is yellow and I have a fever. My urine is,Gastroenterologist
"""In the U.S., because of newborn screening, cystic fibrosis can be diagnosed within the first month of life",General Physician
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts""",ENT
"""constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus""",General Physician
"""Signs and symptoms caused by brain metastases can vary based on the location",General Physician
"""skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze""",Dermatologist
"""fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation""",General Physician
"""back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance""",General Physician
"""fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf""",General Physician
"""Common symptoms of esophagitis include: Difficulty swallowing. Painful swallowing. Swallowed food becoming stuck in the esophagus",General Physician
"""vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness""",Gastroenterologist
"""continuous_sneezing,chills,fatigue,cough,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose",ENT
"""Some people with ADHD have fewer symptoms as they age",General Physician
"""I have a burning sensation in my chest and throat",ENT
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
"""I'm not interested in sex anymore, and it's hard for me to get aroused. I also have brain fog and feel confused a lot.""",General Physician
"""chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain""",Gastroenterologist
"""chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain""",Gastroenterologist
"""I've been having headaches and chest pain for a few days now, and today I also started to feel dizzy and lightheaded.""",General Physician
"""fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties",ENT
"""joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma",Gastroenterologist
"""During a hot flash, you might have: A sudden feeling of warmth spreading through your chest, neck and face A flushed appearance with red",General Physician
"""fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum""",General Physician
"""stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain""",Gastroenterologist
"""chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain""",Gastroenterologist
"""acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances""",Gastroenterologist
"""skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails""",Dermatologist
"""vomiting,sunken_eyes,dehydration,diarrhoea""",Gastroenterologist
"""I have been experiencing itching on my skin",Dermatologist
"""joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain""",Gastroenterologist
